frequency	V(onoise)
1.000000000000000e+001	3.299847e-005
1.023292992280754e+001	3.319928e-005
1.047128548050899e+001	3.339667e-005
1.071519305237606e+001	3.359047e-005
1.096478196143185e+001	3.378050e-005
1.122018454301963e+001	3.396660e-005
1.148153621496883e+001	3.414858e-005
1.174897554939530e+001	3.432625e-005
1.202264434617413e+001	3.449944e-005
1.230268770812381e+001	3.466797e-005
1.258925411794167e+001	3.483164e-005
1.288249551693134e+001	3.499028e-005
1.318256738556407e+001	3.514370e-005
1.348962882591653e+001	3.529173e-005
1.380384264602884e+001	3.543420e-005
1.412537544622754e+001	3.557092e-005
1.445439770745927e+001	3.570173e-005
1.479108388168207e+001	3.582648e-005
1.513561248436208e+001	3.594500e-005
1.548816618912481e+001	3.605715e-005
1.584893192461113e+001	3.616278e-005
1.621810097358929e+001	3.626177e-005
1.659586907437560e+001	3.635399e-005
1.698243652461744e+001	3.643933e-005
1.737800828749375e+001	3.651769e-005
1.778279410038922e+001	3.658898e-005
1.819700858609983e+001	3.665311e-005
1.862087136662867e+001	3.671004e-005
1.905460717963246e+001	3.675969e-005
1.949844599758044e+001	3.680204e-005
1.995262314968879e+001	3.683706e-005
2.041737944669528e+001	3.686473e-005
2.089296130854038e+001	3.688506e-005
2.137962089502231e+001	3.689806e-005
2.187761623949551e+001	3.690377e-005
2.238721138568338e+001	3.690222e-005
2.290867652767771e+001	3.689349e-005
2.344228815319920e+001	3.687762e-005
2.398832919019489e+001	3.685472e-005
2.454708915685028e+001	3.682488e-005
2.511886431509578e+001	3.678820e-005
2.570395782768862e+001	3.674481e-005
2.630267991895380e+001	3.669485e-005
2.691534803926913e+001	3.663844e-005
2.754228703338164e+001	3.657576e-005
2.818382931264451e+001	3.650695e-005
2.884031503126603e+001	3.643220e-005
2.951209226666383e+001	3.635167e-005
3.019951720402014e+001	3.626556e-005
3.090295432513588e+001	3.617405e-005
3.162277660168376e+001	3.607735e-005
3.235936569296280e+001	3.597565e-005
3.311311214825908e+001	3.586916e-005
3.388441561392022e+001	3.575809e-005
3.467368504525312e+001	3.564265e-005
3.548133892335751e+001	3.552305e-005
3.630780547701009e+001	3.539951e-005
3.715352290971721e+001	3.527224e-005
3.801893963205608e+001	3.514146e-005
3.890451449942801e+001	3.500737e-005
3.981071705534967e+001	3.487019e-005
4.073802778041122e+001	3.473013e-005
4.168693834703348e+001	3.458739e-005
4.265795188015920e+001	3.444218e-005
4.365158322401653e+001	3.429470e-005
4.466835921509625e+001	3.414515e-005
4.570881896148743e+001	3.399370e-005
4.677351412871975e+001	3.384057e-005
4.786300923226376e+001	3.368592e-005
4.897788193684454e+001	3.352993e-005
5.011872336272715e+001	3.337278e-005
5.128613839913640e+001	3.321464e-005
5.248074602497717e+001	3.305566e-005
5.370317963702517e+001	3.289600e-005
5.495408738576235e+001	3.273582e-005
5.623413251903480e+001	3.257527e-005
5.754399373371558e+001	3.241446e-005
5.888436553555878e+001	3.225355e-005
