frequency	V(onoise)
2.000000000000000e+001	7.266657e-007
2.046585984561508e+001	7.149046e-007
2.094257096101799e+001	7.033975e-007
2.143038610475213e+001	6.921413e-007
2.192956392286370e+001	6.811333e-007
2.244036908603927e+001	6.703700e-007
2.296307242993765e+001	6.598481e-007
2.349795109879059e+001	6.495642e-007
2.404528869234826e+001	6.395145e-007
2.460537541624763e+001	6.296954e-007
2.517850823588334e+001	6.201031e-007
2.576499103386268e+001	6.107337e-007
2.636513477112814e+001	6.015831e-007
2.697925765183307e+001	5.926476e-007
2.760768529205769e+001	5.839231e-007
2.825075089245508e+001	5.754054e-007
2.890879541491854e+001	5.670906e-007
2.958216776336414e+001	5.589747e-007
3.027122496872415e+001	5.510536e-007
3.097633237824962e+001	5.433232e-007
3.169786384922226e+001	5.357795e-007
3.243620194717859e+001	5.284185e-007
3.319173814875120e+001	5.212364e-007
3.396487304923488e+001	5.142290e-007
3.475601657498750e+001	5.073926e-007
3.556558820077844e+001	5.007233e-007
3.639401717219965e+001	4.942173e-007
3.724174273325733e+001	4.878709e-007
3.810921435926493e+001	4.816803e-007
3.899689199516089e+001	4.756419e-007
3.990524629937757e+001	4.697522e-007
4.083475889339056e+001	4.640075e-007
4.178592261708076e+001	4.584045e-007
4.275924179004461e+001	4.529398e-007
4.375523247899102e+001	4.476099e-007
4.477442277136676e+001	4.424117e-007
4.581735305535543e+001	4.373419e-007
4.688457630639841e+001	4.323973e-007
4.797665838038977e+001	4.275749e-007
4.909417831370057e+001	4.228717e-007
5.023772863019156e+001	4.182847e-007
5.140791565537723e+001	4.138111e-007
5.260535983790759e+001	4.094479e-007
5.383069607853827e+001	4.051924e-007
5.508457406676328e+001	4.010420e-007
5.636765862528903e+001	3.969940e-007
5.768063006253207e+001	3.930458e-007
5.902418453332766e+001	3.891948e-007
6.039903440804027e+001	3.854388e-007
6.180590865027175e+001	3.817752e-007
6.324555320336753e+001	3.782017e-007
6.471873138592559e+001	3.747161e-007
6.622622429651815e+001	3.713160e-007
6.776883122784044e+001	3.679994e-007
6.934737009050625e+001	3.647642e-007
7.096267784671501e+001	3.616082e-007
7.261561095402018e+001	3.585295e-007
7.430704581943442e+001	3.555260e-007
7.603787926411215e+001	3.525960e-007
7.780902899885602e+001	3.497374e-007
7.962143411069934e+001	3.469486e-007
8.147605556082243e+001	3.442278e-007
8.337387669406697e+001	3.415732e-007
8.531590376031841e+001	3.389831e-007
8.730316644803307e+001	3.364559e-007
8.933671843019249e+001	3.339901e-007
9.141763792297486e+001	3.315841e-007
9.354702825743949e+001	3.292363e-007
9.572601846452751e+001	3.269453e-007
9.795576387368908e+001	3.247097e-007
1.002374467254543e+002	3.225281e-007
1.025722767982728e+002	3.203991e-007
1.049614920499543e+002	3.183214e-007
1.074063592740504e+002	3.162938e-007
1.099081747715247e+002	3.143149e-007
1.124682650380696e+002	3.123835e-007
1.150879874674312e+002	3.104985e-007
1.177687310711176e+002	3.086587e-007
1.205119172148713e+002	3.068630e-007
1.233190003722962e+002	3.051102e-007
1.261914688960384e+002	3.033993e-007
1.291308458069308e+002	3.017294e-007
1.321386896015189e+002	3.000992e-007
1.352165950783961e+002	2.985079e-007
1.383661941837870e+002	2.969546e-007
1.415891568768273e+002	2.954382e-007
1.448871920149977e+002	2.939578e-007
1.482620482601832e+002	2.925126e-007
1.517155150058364e+002	2.911017e-007
1.552494233257380e+002	2.897243e-007
1.588656469448559e+002	2.883795e-007
1.625661032328194e+002	2.870665e-007
1.663527542205337e+002	2.857846e-007
1.702276076404748e+002	2.845330e-007
1.741927179912156e+002	2.833110e-007
1.782501876267486e+002	2.821178e-007
